generation,best_f1,train_size
1,0.6295513533555803,65459
2,0.6295513533555803,70459
3,0.6295513533555803,70459
4,0.6295513533555803,75459
5,0.6295513533555803,75459
6,0.6295513533555803,80459
7,0.6295513533555803,80459
8,0.6295513533555803,85459
9,0.6295513533555803,85459
10,0.6295513533555803,90459
11,0.6295513533555803,90459
12,0.6295513533555803,95459
13,0.6295513533555803,95459
14,0.6295513533555803,100459
15,0.6295513533555803,100459
16,0.6295513533555803,105459
17,0.6295513533555803,105459
18,0.6295513533555803,110459
19,0.6295513533555803,110459
20,0.6295513533555803,115459
21,0.6295513533555803,115459
22,0.6295513533555803,120459
23,0.6295513533555803,120459
24,0.6295513533555803,125459
25,0.6295513533555803,125459
26,0.6295513533555803,130459
27,0.6295513533555803,130459
28,0.6295513533555803,135459
29,0.6295513533555803,135459
30,0.6295513533555803,140459
