,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt
DER_mass_MMC,1.0,0.22317465871347544,0.9126995943902014,0.021897617081775823,-0.023764234160127712,-0.017081689427217626,0.014138117988576226,0.49515741883715225,0.013396746280297541,0.12588191208180943,0.07099969310145803,0.018046469468610982,-0.03321111099102497,0.2679605546105295,0.002404507857232641,-0.0031276956674738295,0.3442181268035963,0.0015796084689097298,-0.00222011713513654,0.09833706645886221,-0.002331103807389968,0.09150185670671546,0.014967424738254713,0.00550068679115986,0.00016185032941866864,0.0044797764277757475,-0.011646593280714995,-0.0003577205498857338,-0.0006012277959754752,0.011508064379594845
DER_mass_transverse_met_lep,0.22317465871347544,1.0,0.19021205532826407,-0.2513327487353014,-0.13286647533371324,-0.12985975588540424,0.12241700430649326,0.0403457283177377,0.013515289801776265,-0.1463078901005485,0.34823836385764995,-0.41940238324010315,-0.10825321592883369,-0.142901743316143,-0.003961971868771285,-0.0012684313233439295,0.31253154706144776,-0.008600472683536302,0.001510471258234183,0.1840108060435541,-0.017718616080225735,-0.16678842160482973,-0.21165710474409627,-0.14592689300880538,-0.00011688795422652312,0.004803640343688355,-0.03588815253255692,-0.0007576968639994765,0.005127815541496177,-0.2105107257576639
DER_mass_vis,0.9126995943902014,0.19021205532826407,1.0,-0.062265549843947526,-0.0364232716752039,-0.0519570289206448,0.029720171119506797,0.5772330513267018,-0.0012388403396034202,0.09042527177067147,0.09840820930937971,-0.09118666192914884,-0.05289046297154976,0.2886767016012092,0.003346935139716298,-0.004594396849155865,0.408204769603098,0.0017864452235084852,-0.0014586058936805874,-0.09111903572541316,-0.0028574988810685636,0.05635899976249452,-0.02511537151683586,-0.07589950409581286,-0.000406916359039442,0.004029219310669217,-0.04615060045643881,-0.0030684636078200356,0.0002165495097256953,-0.051009866877690324
DER_pt_h,0.021897617081775823,-0.2513327487353014,-0.062265549843947526,1.0,-0.04232514306232138,0.18361576812833752,-0.021661776172937425,-0.5421605883967209,0.30482701280116936,0.8333366255668339,0.08982150765117833,0.5408544490012109,0.017213986649489466,0.41103844409205115,0.005333031137850896,0.00946946477208821,0.36298927694199395,0.011434542759959901,-0.0010894706775275772,0.6757079265485283,0.009456509851886143,0.7836751673281984,0.6234818825873618,0.8250538747207276,0.0024195426631421005,-0.0005259704100861838,0.35481815928349103,0.0003890679050605851,-0.003050488271855705,0.8083377777545238
DER_deltaeta_jet_jet,-0.023764234160127712,-0.13286647533371324,-0.0364232716752039,-0.04232514306232138,1.0,0.7968910727447733,-0.8365363282540124,0.03495482786644298,-0.1449310638031657,-0.10802025977524085,-0.0883533100532015,0.1037671001055455,0.6424307052717287,0.01780408973783974,-0.002247035269438533,-0.0018990864187286404,-0.08149425371879426,-0.0008952789834703191,0.0007922287669887242,-0.06309887030487586,0.0018394902270840096,-0.14679876510191456,-0.17597215786724515,-0.04829503896464368,0.0005054719327976377,-0.0010580962147008091,-0.09197240179972226,-0.0024768847942011024,0.0012020655406448676,-0.11276490429457084
DER_mass_jet_jet,-0.017081689427217626,-0.12985975588540424,-0.0519570289206448,0.18361576812833752,0.7968910727447733,1.0,-0.7640411387856615,-0.11423654150730132,-0.0326035702131446,0.22970877418321226,-0.0522606088412325,0.14586257077885767,0.4773422531056708,0.11606647816812742,-0.004236685491921913,0.0016132229298651463,0.02178627233614259,-0.002045392505377645,-0.001703164970504822,0.11974089283470864,0.0032848316029592613,0.16099066530165418,-0.07547524473599951,0.2815165008347152,-0.0012084185318237408,0.00013308036664498333,0.23629539209502515,-0.0011934350959178098,0.0024456796354351963,0.23831429203881518
DER_prodeta_jet_jet,0.014138117988576226,0.12241700430649326,0.029720171119506797,-0.021661776172937425,-0.8365363282540124,-0.7640411387856615,1.0,0.0052660173061829735,0.10813839079706708,0.01816891440408638,0.06253173706244083,-0.11071837550264432,-0.5596813242025518,-0.039400541061311856,0.002805780400296042,0.0015326899237827723,0.039405426399031634,0.0004171972818503448,-0.001441732134118536,0.014056649961436598,-0.002802400672160931,0.05279905119009278,0.1260850057825413,-0.022697746551856295,-0.0015095461904307576,-0.0006814777462608153,0.005247601045340372,0.0005756123017945363,0.0007861739046792454,0.02203006681072188
DER_deltar_tau_lep,0.49515741883715225,0.0403457283177377,0.5772330513267018,-0.5421605883967209,0.03495482786644298,-0.11423654150730132,0.0052660173061829735,1.0,-0.15495875490831967,-0.43264788876418103,0.04825051954766892,-0.20517446078810742,-0.020377737089104786,-0.20497644284710645,0.0010055140398776213,-0.014439271257571693,-0.07066689793089852,-0.0016281520665713473,-0.00017639144641214512,-0.4083204609632076,-0.004352697870825351,-0.40660157831965393,-0.3487417729956997,-0.4829563130335222,-0.0021307131166124053,0.006910770744408051,-0.2266034766846765,-0.0014209307903878731,0.0036049867144573706,-0.4481142548687578
DER_pt_tot,0.013396746280297541,0.013515289801776265,-0.0012388403396034202,0.30482701280116936,-0.1449310638031657,-0.0326035702131446,0.10813839079706708,-0.15495875490831967,1.0,0.39260712874777554,0.03906238704711398,0.18301858476984142,-0.1141770695310532,0.10083875520506062,0.0031160651122163073,0.0018628817878093083,0.11164318523749085,0.007086952910674964,-0.002956611025173795,0.2507705499626045,0.0004915298654712369,0.461238344453996,0.3699326858547583,0.2277639290587366,-0.0015528201616224532,0.0033213270044716446,0.32095994452272764,-0.0009079210214550256,-0.00013973658574686825,0.4153686933094336
DER_sum_pt,0.12588191208180943,-0.1463078901005485,0.09042527177067147,0.8333366255668339,-0.10802025977524085,0.22970877418321226,0.01816891440408638,-0.43264788876418103,0.39260712874777554,1.0,0.10777409385517885,0.41889918442503365,-0.035960031937047124,0.4878995936670528,0.004487549543059105,0.007587702041617518,0.4601433902032998,0.009888278621165378,-0.000593834795099415,0.5220827915116627,0.0075068751634056645,0.9051252423696233,0.7578692858552473,0.8787525394785937,0.0007869460338266373,0.0012421628602976877,0.7329600305599341,-0.00012759871259294177,-0.0012739773597856652,0.9656906142722123
