feature,missing_ratio,mean,std,min,max,iqr_outlier_rate
DER_mass_MMC,0.15228087671313237,121.86769681936924,56.94244630779107,9.044,1949.261,0.06315127819202002
DER_mass_transverse_met_lep,0.0,49.252714088077056,35.378587217174,0.0,968.669,0.007490485653318472
DER_mass_vis,0.0,81.14056096148065,40.58268296750819,6.329,1349.351,0.058079678528741026
DER_pt_h,0.0,57.84952417389561,63.41189967915307,0.0,2834.999,0.05497422510320958
DER_deltaeta_jet_jet,0.7091494161845331,2.4046257285123014,1.7425425987111662,0.0,8.724,0.0003949828770720844
DER_mass_jet_jet,0.7091494161845331,372.18104983087176,398.2345561397254,13.602,4974.979,0.07121037040149589
DER_prodeta_jet_jet,0.7091494161845331,-0.8287404332205812,3.583761276874114,-19.012,17.65,0.06437800701724898
DER_deltar_tau_lep,0.0,2.373871382165091,0.7808748521404554,0.208,5.751,0.0024320552210970402
DER_pt_tot,0.0,18.96961724339373,21.918477361107335,0.0,2834.999,0.03516580750344032
DER_sum_pt,0.0,158.59615892808694,116.0897385531053,46.103,2079.162,0.04925461784957433
DER_pt_ratio_lep_tau,0.0,1.4387755445237205,0.8451087949194347,0.047,32.228,0.03838247551445912
DER_met_phi_centrality,0.0,-0.12727721763105598,1.194234100678109,-1.414,1.414,0.0
DER_lep_eta_centrality,0.7091494161845331,0.45847993360926115,0.39814513997558415,0.0,1.0,0.0
PRI_tau_pt,0.0,38.69815220632628,22.429002669662992,20.0,764.408,0.05628924591622486
PRI_tau_eta,0.0,-0.01166289270358991,1.2135105693901456,-2.499,2.5,0.0
PRI_tau_phi,0.0,-0.013158134919179994,1.8160820413222443,-3.142,3.142,0.0
PRI_lep_pt,0.0,46.69241380625197,22.142323340918523,26.0,701.328,0.053921964025136944
PRI_lep_eta,0.0,-0.019079470765229676,1.2642495994723035,-2.508,2.506,0.0
PRI_lep_phi,0.0,0.0494604088297048,1.8150976096432843,-3.142,3.142,0.0
PRI_met,0.0,41.65452646418279,32.49609319203505,0.051,2842.617,0.05193721142259343
PRI_met_phi,0.0,-0.008634276335247201,1.8127020202249526,-3.142,3.142,0.0
PRI_met_sumet,0.0,209.9087302545225,126.81660841031785,13.678,2190.275,0.04082186356536851
PRI_jet_num,0.0,0.9799227119737778,0.9787923289079741,0.0,3.0,0.0
PRI_jet_leading_pt,0.40009263808329604,84.90428503443906,60.64946784720861,30.0,1163.439,0.05849649701446624
PRI_jet_leading_eta,0.40009263808329604,-0.0012480060790397397,1.7794171865112154,-4.5,4.5,0.0
PRI_jet_leading_phi,0.40009263808329604,-0.018856431579226146,1.8153610407850678,-3.142,3.142,0.0
PRI_jet_subleading_pt,0.7091494161845331,57.81028603903608,32.455397655002265,30.0,817.801,0.05954156774586634
PRI_jet_subleading_eta,0.7091494161845331,-0.006669046368468601,2.031691100803853,-4.5,4.5,0.0
PRI_jet_subleading_phi,0.7091494161845331,-0.010469701871966722,1.8160290005039015,-3.142,3.142,0.0
PRI_jet_all_pt,0.0,73.20559378322689,98.3316940529655,-0.0,1860.175,0.04422307445999819
